*vertices 8497
845 "WKCI-FM (New Haven, Connecticut)"
846 "WGNE-FM (Daytona Beach, Florida)"
847 "WAIL-FM (Florida Keys)"
848 "WAVK-FM (Florida Keys)"
849 "WCTH-FM (Florida Keys)"
850 "WEOW-FM (Florida Keys)"
851 "WFKZ-FM (Florida Keys)"
852 "WKEZ-AM/FM (Florida Keys)"
853 "WKWF-AM (Florida Keys)"
854 "WCKT-FM (Ft. Myers/Naples, Florida)"
855 "WOLZ-FM (Ft. Myers/Naples, Florida)"
856 "WQNU-FM (Ft. Myers/Naples, Florida)"
857 "WOST-FM (Ft. Myers/Naples, Florida)"
858 "WFSJ-FM (Jacksonville, Florida)"
859 "WJBT-FM (Jacksonville, Florida)"
860 "WJGR-AM (Jacksonville, Florida)"
861 "WNZS-AM (Jacksonville, Florida)"
862 "WPLA-FM (Jacksonville, Florida)"
863 "WQIK-FM (Jacksonville, Florida)"
864 "WROO-FM (Jacksonville, Florida)"
865 "WSOL-FM (Jacksonville, Florida)"
866 "WZNZ-AM (Jacksonville, Florida)"
867 "WBGG-FM (Miami/Ft. Lauderdale, Florida)"
868 "WHYI-FM (Miami/Ft. Lauderdale, Florida)"
869 "WINZ-AM (Miami/Ft. Lauderdale, Florida)"
870 "WIOD-AM (Miami/Ft. Lauderdale, Florida)"
871 "WLVE-FM (Miami/Ft. Lauderdale, Florida)"
872 "WMGE-FM (Miami/Ft. Lauderdale, Florida)"
873 "WZTA-FM (Miami/Ft. Lauderdale, Florida)"
874 "WJRR-FM (Orlando, Florida)"
875 "WMGF-FM (Orlando, Florida)"
876 "WQTM-AM (Orlando, Florida)"
877 "WSHE-FM (Orlando, Florida)"
878 "WTKS-FM (Orlando, Florida)"
879 "WWNZ-AM (Orlando, Florida)"
880 "WDIZ-AM (Panama City, Florida)"
881 "WFSY-FM (Panama City, Florida)"
882 "WPAP-FM (Panama City, Florida)"
883 "WPBH-FM (Panama City, Florida)"
884 "WPPT-FM(Panama City, Florida)"
885 "WTKX-FM (Pensacola, Florida)"
886 "WCCF-AM (Rock Punta Gorda, Florida)"
887 "WCVU-FM (Rock Punta Gorda, Florida)"
888 "WIKX-FM (Rock Punta Gorda, Florida)"
889 "WKII-AM (Rock Punta Gorda, Florida)"
890 "WAMR-AM (Sarasota, Florida)"
891 "WCTQ-FM (Sarasota, Florida)"
892 "WDDV-FM (Sarasota, Florida)"
893 "WSPB-AM (Sarasota, Florida)"
894 "WSRZ-FM (Sarasota, Florida)"
895 "WYNF-FM (Sarasota, Florida)"
896 "WTLY-FM (Tallahassee, Florida)"
897 "WNLS-AM (Tallahassee, Florida)"
898 "WOKL-FM (Tallahassee, Florida)"
899 "WTNT-FM (Tallahassee, Florida)"
900 "WXSR FM (Tallahassee, Florida)"
901 "WMTX-FM (Tampa/St. Petersburg, Florida)"
902 "WDAE-AM (Tampa/St. Petersburg, Florida)"
903 "WFLA-AM (Tampa/St. Petersburg, Florida)"
904 "WFLZ-FM (Tampa/St. Petersburg, Florida)"
905 "WHNZ-AM (Tampa/St. Petersburg, Florida)"
906 "WSSR-FM (Tampa/St. Petersburg, Florida)"
907 "WTBT-FM (Tampa/St. Petersburg, Florida)"
908 "WXTB-FM (Tampa/St. Petersburg, Florida)"
909 "WBZT AM (West Palm Beach, Florida)"
910 "WIRA-AM (West Palm Beach, Florida)"
911 "WJNO AM (West Palm Beach, Florida)"
912 "WJNX-AM (West Palm Beach, Florida)"
913 "WKGR FM (West Palm Beach, Florida)"
914 "WLDI-FM (West Palm Beach, Florida)"
915 "WOLL-FM (West Palm Beach, Florida)"
916 "WWLV-FM (West Palm Beach, Florida)"
917 "WCOH-AM (Atlanta, Georgia)"
918 "WGSE-AM (Atlanta, Georgia)"
919 "WGST-AM/FM (Atlanta, Georgia)"
920 "WKLS-FM (Atlanta, Georgia)"
921 "WMAX-FM (Atlanta, Georgia)"
922 "WMKJ-FM (Atlanta, Georgia)"
923 "WPCH-FM (Atlanta, Georgia)"
924 "WHEL-FM (Helen, Georgia)"
925 "WMXY-AM (Hogansville, Georgia)"
926 "WZLG-FM (Hogansville, Georgia)"
927 "KARO-FM (Boise, Idaho)"
928 "KCIX-FM (Boise, Idaho)"
929 "KFXD-AM (Boise, Idaho)"
930 "KIDO-AM (Boise, Idaho)"
931 "KLTB-FM (Boise, Idaho)"
932 "KXLT-FM (Boise, Idaho)"
933 "KID-AM/FM (Idaho Falls, Idaho)"
934 "KLLP-FM (Pocatello, Idaho)"
935 "KPKY-FM (Pocatello, Idaho)"
936 "KWIK-AM (Pocatello, Idaho)"
937 "KEZJ-FM (Twin Falls, Idaho)"
938 "KLIX-AM/FM (Twin Falls, Idaho)"
939 "KBUR-AM (Burlington, Iowa)"
940 "KGRS-FM (Burlington, Iowa)"
941 "WMT-AM/FM (Cedar Rapids, Iowa)"
942 "WHO-AM (Des Moines, Iowa)"
943 "KKDM-FM (Des Moines, Iowa)"
944 "KLYF-FM (Des Moines, Iowa)"
945 "KMXD-FM (Des Moines, Iowa)"
946 "KCCQ-FM (Des Moines, Iowa)"
947 "KASI-AM (Des Moines, Iowa)"
948 "KKEZ-FM (Fort Dodge, Iowa)"
949 "KWMT-AM (Fort Dodge, Iowa)"
950 "KBKB-AM/FM (Fort Madison, Iowa)"
951 "KKRQ-FM (Iowa City, Iowa)"
952 "KXIC-AM (Iowa City, Iowa)"
953 "WBUL-FM (Lexington, Kentucky)"
954 "WKQQ-FM (Lexington, Kentucky)"
955 "WLAP-AM (Lexington, Kentucky)"
956 "WLKT-FM (Lexington, Kentucky)"
957 "WMXL-FM (Lexington, Kentucky)"
958 "WTKT-AM (Lexington, Kentucky)"
959 "WHAS-AM (Louisville, Kentucky)"
960 "WAMZ-FM (Louisville, Kentucky)"
961 "WQMF-FM (Louisville, Kentucky)"
962 "WTFX-FM (Louisville, Kentucky)"
963 "WWKY-AM (Louisville, Kentucky)"
964 "WKJK- AM (Louisville, Kentucky)"
965 "WYBL-FM (Louisville, Kentucky)"
966 "WZTR-FM (Louisville, Kentucky)"
967 "WBTF-FM (Midway, Kentucky)"
968 "KKND-FM (New Orleans, Louisiana)"
969 "KUMX-FM (New Orleans, Louisiana)"
970 "WNOE-FM (New Orleans, Louisiana)"
971 "WODT-AM (New Orleans, Louisiana)"
972 "WQUE-FM (New Orleans, Louisiana)"
973 "WYLD-AM/FM (New Orleans, Louisiana)"
974 "WYLD-FM (New Orleans, Louisiana)"
975 "KEEL-AM (Shreveport, Louisiana)"
976 "KITT-FM (Shreveport, Louisiana)"
977 "KRUF-FM (Shreveport, Louisiana)"
978 "KVKI-FM (Shreveport, Louisiana)"
979 "KWKH-AM (Shreveport, Louisiana)"
980 "WCAO-AM (Baltimore, Maryland)"
981 "WOCT-FM (Baltimore, Maryland)"
982 "WPOC-FM (Baltimore, Maryland)"
983 "WSRS-FM (Worcester, Massachusetts)"
984 "WTAG-AM (Worcester, Massachusetts)"
985 "WHYN-AM/FM (Springfield, Massachusetts)"
986 "WNNZ-AM (Springfield, Massachusetts)"
987 "WBCT-AM (Grand Rapids, Michigan)"
988 "WCUZ-FM (Grand Rapids, Michigan)"
989 "WOOD-AM/FM (Grand Rapids, Michigan)"
990 "WTKG-AM (Grand Rapids, Michigan)"
991 "WVTI-FM (Grand Rapids, Michigan)"
992 "WSNX-FM (Grand Rapids, Michigan)"
993 "WJMI-FM (Jackson, Missisppi)"
994 "WKXI-AM/FM (Jackson, Missisppi)"
995 "WOAD-AM (Jackson, Missisppi)"
996 "WYJS-FM (Jackson, Missisppi)"
997 "KATZ-AM/FM (St. Louis, Missouri)"
998 "KLOU-FM (St. Louis, Missouri)"
999 "KMJM-FM (St. Louis, Missouri)"
*arcs
1       37
1       38
1       39
1       40
1       41
1       42
1       43
1       44
1       45
1       46
46      47
1       48
1       49
1       50
1       51
1       52
1       53
53      54
53      55
53      56
53      57
53      58
53      59
53      60
53      61
53      62
1       63
1       64
64      65
64      66
64      67
64      68
64      69
64      70
64      71
64      73
64      74
64      75
64      76
64      77
64      78
64      79
64      80
64      81
64      82
64      83
64      84
64      85
85      86
64      87
1       88
88      89
88      90
88      72
88      91
88      92
88      93
88      94
88      95
88      96
88      97
88      98
88      99
88      100
1       177
1       102
1       103
1       104
129     130
129     131
139     140
139     141
139     142
4       170
4       164
4       167
170     177
171     174
171     173
170     175
170     220
170     238
170     239
170     246
170     247
170     265
170     274
170     280
170     281
170     282
170     176
170     329
170     332
170     330
163     334
170     337
170     331
170     221
170     224
170     225
170     226
170     227
170     228
170     229
170     230
170     231
170     232
170     233
170     234
170     235
170     236
170     237
170     240
170     241
170     242
170     244
170     245
170     195
247     248
247     249
247     250
247     251
247     252
170     253
247     254
247     255
247     256
247     257
247     258
247     259
247     260
247     261
247     262
247     263
170     264
170     23
265     266
265     267
265     268
265     269
265     270
265     271
265     272
265     273
170     291
170     297
32      298
4       309
35      310
4       310
4       311
4       312
4       313
4       314
4       315
4       316
4       318
4       319
4       320
4       321
4       322
4       323
4       324
4       325
4       327
4       328
170     275
8       275
275     276
275     277
275     278
275     279
32      300
177     183
177     203
170     317
170     336
170     326
170     335
170     286
170     288
471     485
491     492
491     493
491     494
6       495
6       497
6       498
6       499
6       500
6       501
6       502
6       504
6       505
6       471
471     472
471     474
3       145
3       146
3       147
3       148
3       150
3       151
275     151
3       153
3       154
3       155
3       156
3       157
3       158
3       159
3       160
30      176
4       307
15      307
170     308
5       338
338     339
338     340
338     341
338     342
338     343
338     344
338     345
338     346
338     347
5       348
348     349
348     350
348     351
5       352
352     353
352     354
352     355
352     356
352     357
352     358
352     359
352     360
352     361
352     362
352     363
352     364
352     365
352     366
352     367
5       368
5       369
5       370
5       371
5       372
5       373
5       374
5       375
5       376
5       377
5       378
5       379
5       380
5       381
5       382
5       383
5       384
5       385
5       386
5       387
5       388
5       389
5       390
5       391
5       392
5       393
5       394
5       395
5       396
5       397
5       398
5       399
5       400
10      388
5       401
5       402
5       403
5       404
5       405
5       406
5       407
5       408
408     409
408     410
408     411
408     412
408     413
408     414
408     415
408     416
408     417
408     418
408     419
408     420
408     421
408     422
5       423
5       424
5       425
5       426
5       427
5       428
5       429
5       430
5       431
5       432
5       433
5       434
5       435
5       436
5       437
5       438
5       439
5       440
5       441
5       442
5       443
443     444
443     445
443     446
443     447
443     448
443     449
443     450
443     451
443     452
443     453
443     454
443     455
443     456
443     457
443     458
443     459
443     460
443     461
443     462
443     463
443     464
443     465
6       466
6       467
6       468
6       469
6       470
471     475
471     476
476     477
476     478
476     479
476     481
471     483
471     484
33      171
7       506
7       507
7       508
7       509
7       510
7       511
7       512
7       513
7       514
7       515
7       516
7       517
7       518
7       519
7       520
7       521
7       522
7       523
7       524
7       525
7       526
7       527
7       528
7       530
7       531
7       532
7       533
7       534
7       535
7       536
7       537
7       538
7       539
7       540
7       541
7       542
7       543
7       544
7       545
7       546
7       547
7       548
7       549
7       550
7       551
7       552
7       553
7       554
7       555
7       556
7       557
7       558
7       559
7       560
7       561
7       562
7       564
7       565
7       566
7       567
7       568
7       569
7       570
7       571
7       572
7       573
7       574
7       575
7       576
7       577
7       578
7       579
7       580
7       581
7       582
7       583
7       584
7       585
7       586
7       587
7       588
7       589
7       590
7       591
7       592
7       593
7       594
7       595
7       596
7       597
7       598
7       599
7       600
7       601
7       602
7       603
7       604
7       605
7       606
7       607
7       608
7       609
609     610
7       611
7       612
7       613
7       614
7       615
7       616
7       617
7       618
7       619
7       622
7       623
7       624
7       625
7       626
7       627
7       628
7       629
7       630
7       631
7       632
7       633
7       634
7       635
7       636
7       637
7       638
7       639
7       640
7       641
7       642
7       643
7       644
7       645
7       646
7       647
7       648
7       649
7       650
7       651
7       652
7       653
7       654
7       655
7       656
7       657
7       658
7       659
7       660
7       661
7       662
7       663
7       664
7       665
7       666
7       667
7       668
7       669
7       670
7       671
7       672
7       673
7       674
7       675
7       676
7       677
7       678
7       679
7       680
7       681
7       682
7       683
7       684
7       685
7       686
7       687
7       688
7       689
7       690
7       691
7       692
7       693
7       694
7       695
7       696
7       697
7       698
7       699
7       700
7       701
7       702
7       703
7       704
7       705
7       706
7       707
7       708
7       709
7       710
7       711
7       712
7       713
7       714
7       715
7       717
7       718
7       719
7       720
8       8
8       220
10      220
23      237
23      389
23      497
23      498
4       163
4       161
8       166
163     166
9       166
170     32
471     6
4       8
4       166
3       30
4       289
6       475
6       476
8       170
8       30
170     30
170     289
32      303
15      317
6       4
6       491
23      289
163     275
163     289
335     222
